id,accreditations,alternate_name,date_incorporated,description,email,funding_sources,legal_status,licenses,name,tax_id,tax_status,website
415,,L&I,,"Labor and Industries helps to protect the health and safety of workers, ensuring medical and financial help of workers, enforces workers laws, and protects the public from unsafe work and economic hardship.",,,,,"Washington State Department of Labor and Industries - Kitsap",,,http://www.lni.wa.gov
416,,KTSS,,"Works with disabled adults who may also have physical, mental and/or developmental disabilities.",,,,,"Kitsap Tenant Support Services",,,
417,,"Express Pros",,"Applicant can apply for short-term, long-term, temporary, and temp-to-hire positions.  Jobs available include those in office, tech, and labor.",,,,,"Express Employment Professionals - Kitsap",,,http://www.expresspros.com
418,,,,"Provides law enforcement services to the Suquamish area.",,,,,"Suquamish Police Department",,,http://www.suquamish.org/Departments/Police.aspx
419,,"Jefferson County Medical Advocacy and Services Headquarters",,"Facilitates access to primary medical care and prescriptions for low-income, uninsured, or underinsured Jefferson County residents by providing free medical needs assessment, guidance, and advocacy.
Youth Mental Health Clinic-Access to free mental health therapy and referrals for at-risk youth who have no insurance or funds for services",,,,,"JC MASH Clinic",910536255,,http://www.jcmash.com
420,,"Pastor Art Speight",,"Helps anyone that is homeless in Kitsap County by providing food, clothing, and opportunities to get off the streets. Our Ministry connect the homeless with other people/churches/organizations to remedy their individual needs.",,,,,"Cornerstone Christian Fellowship",841684161,,
421,,WSP,,"Provide law enforcement services throughout the State of Washington, to include traffic law enforcement, commercial vehicle enforcement, collision investigation, motorist assistance, security on State ferries, and terrorism prevention.",,,,,"Washington State Patrol - District 8",,,http://www.wa.gov/wsp
422,,KAT,,"Kitsap Applied Technologies promotes individual employment for adults with developmental disabilities and disabled veterans.",,,,,"Kitsap Applied Technologies",911270463,,http://www.katkitsap.org
423,,GHRSN,,"Information and referral for publicly funded mental health treatment programs in Grays Harbor County.",,,,,"Grays Harbor Regional Support Network",,,http://www.healthygh.org
424,,,,"Private practice agency providing general counseling overlooking Discovery Bay.",,,,,"Partners in Well-being",91-2160922,,http://drtapper.com
425,,"James Fitzgerald, LCSW",,"Private Psychotherapy.",,,,,"Human Development and Stress Management Center",,,http://www.HSMCGroup.com
426,,"True Star Behavioral Health Services",,"The Clallam County Juvenile & Family Services Department is responsible for detention, community supervision, departmental coordination, facilities, administration, and various juvenile programs.",,,,,"Clallam County Juvenile & Family Services",,,
427,,M&M,,"Martha & Mary is a non-profit organization founded in 1891 which provides services to families in the greater Kitsap region.  Martha & Mary operates a 190-bed Health and Rehab Center in Poulsbo, which provides traditional nursing home care as well as rehabilitation programs for residents.  Other services offered include independent living apartments for seniors in downtown Poulsbo, home care, care management as well as a variety of children's programs.",,,,,"Martha and Mary",943229627,,http://www.marthaandmary.org
428,,"Pacific County Health District",,"Health Department",,,,,"Pacific County Public Health and Human Services Department",,,http://www.co.pacific.wa.us/health/index.htm
429,,,,"The Shelton Municipal Court is responsible for the administration of justice in the City of Shelton, Washington, hearing and determining infraction cases (traffic, parking and other non traffic violations such as animal control cases) and criminal offenses (misdemeanor and gross misdemeanor offenses) occurring within the city limits of Shelton. The court provides all traditional courtroom services such as Arraignment Hearings, Pre-trial Hearings, Trials (Bench and Jury) and Post Trial Hearings.",,,,,"City of Shelton",,,http://www.ci.shelton.wa.us/
430,,,,"City of Long Beach",,,,,"City of Long Beach",,,http://www.longbeachwa.gov
431,,,,"City of Raymond",,,,,"City of Raymond",,,
432,,,,"City of South Bend",,,,,"City of South Bend",,,http://www.southbend-wa.gov
433,,,,"City of Aberdeen",,,,,"City of Aberdeen",91-600-1226,,http://www.aberdeenwa.gov
434,,,,"City of Cosmopolis.",,,,,"City of Cosmopolis",,,http://www.cityofcosmopolis.com/
435,,,,"City of Elma.",,,,,"City of Elma",,,http://www.cityofelma.com/
436,,,,"City of Hoquiam.",,,,,"City of Hoquiam",,,http://cityofhoquiam.com
437,,,,"City of McCleary",,,,,"City of McCleary",,,http://www.cityofmccleary.com/
438,,,,"City of Montesano",,,,,"City of Montesano",,,http://www.montesano.us/
439,,,,"City of Oakville.",,,,,"City of Oakville",,,http://www.oakvillecityhall.com
440,,,,"Municipal Court",,,,,"City of Ocean Shores",,,http://www.osgov.com/
441,,,,"Municipal Court",,,,,"City of Westport",,,http://www.ci.westport.wa.us/
442,,"DMV Aberdeen",,"Full services licensing office. Testing is available.",,,,,"Washington State Department of Licensing - Grays Harbor",,,http://www.dol.wa.gov
443,,DMV,,"Full services licensing office. Testing is available.",,,,,"Washington State Department of Licensing - Mason",,,http://www.dol.wa.gov
444,,DOL,,"Full services licensing office. Testing is available.",,,,,"Washington State Department of Licensing - Pacific",,,http://www.dol.wa.gov
445,,"DSHS - DVR",,"Helps people with disabilities prepare for, obtain and keep employment.  Programs are custom-designed for each individual.  Works in partnership with the community and business to develop employment opportunities for people who have disabilities.",,,,,"DSHS - Division of Vocational Rehabilitation - Grays Harbor",,,http://www1.dshs.wa.gov/dvr
446,,DVR,,"Helps people with disabilities prepare for, obtain and keep employment.  Programs are custom-designed for each individual.  Works in partnership with the community and business to develop employment opportunities for people who have disabilities.",,,,,"DSHS - Division of Vocational Rehabilitation - Mason",,,http://www1.dshs.wa.gov/dvr
447,,"Leon Huggins-Richard",,"Providing counseling services to Veterans and their family members in Kitsap, Mason, and Thurston Counties.  

Providing case management services to veterans and their families in Mason County.",,,,,"Mental Health Professionals, LLC",26-0840917,,http://www.mhp-llc.com
448,,DVHWC,,"At Dungeness Valley Health and Wellness Clinic professional health care volunteers provide quality basic medical care to uninsured and underinsured people who live in the Sequim-Dungeness Valley.  DVHWC offers four main services to its patients, a twice weekly Basic Urgent Care Clinic, a Chronic Healthcare Clinic (CHC), Dental Referral Services, and Wellness education.",,,,,"Dungeness Valley Health & Wellness Clinic",912140629,,http://www.sequimfreeclinic.org
449,,"DSHS - ADSA - DDD",,"Serves as the point of entry for all the division's services to people with developmental disabilities.  Provides case management, family support and residential services, child development, employment and community access.",,,,,"DSHS - Developmental Disabilities Administration - Pacific",,,https://www.dshs.wa.gov/dda
450,,ALTSA,,"Helps vulnerable adults by providing assessment to determine eligibility for in-home caregiving assistance.  Investigates reports of adult abuse and neglect.",,,,,"DSHS - Aging and Long-Term Support Administration - Home and Community Services - Pacific",,,http://www.altsa.dshs.wa.gov
451,,COPES,,"Helps vulnerable adults by providing in-home assistance and home health care.  Investigates reports of adult abuse and neglect.  Distributes farmer's market vouchers once each year.",,,,,"DSHS - Aging and Long-Term Support Administration - Home and Community Services - Grays Harbor",,,http://www.altsa.dshs.wa.gov/
452,,ALTSA,,"Helps vulnerable adults by providing in-home assistance and home health care.  Investigates reports of adult abuse and neglect.  Distributes farmer's market vouchers once each year.",,,,,"DSHS - Aging and Long-Term Support Administration - Home and Community Services - Mason",,,"http://www.altsa.dshs.wa.gov/ "
453,,CCPA,,"CCPA is a collection of independent, professional therapists who are credentialed and licensed by the State of Washington. Each of us has his or her own style, client population and background, and we are all committed to providing our clients with quality care.",,,,,"Clear Creek Psychological Associates",,,http://www.clearcreekpsychological.com
